x,y,z,C,R,G,B
0.0,0.0,0.0,-1,0.52,0.52,0.52
-5.057771786205823,-4.132708931956775,-5.057771786205823,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.0355177525576,-4.088825974461278,-5.0355177525576,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.125807925277937,-4.136111826946676,-5.125807925277937,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.079222136014556,-4.072855314440647,-5.079222136014556,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.1323335999748085,-4.089636333285883,-5.1323335999748085,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.128403579819219,-4.06084402911137,-5.128403579819219,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.013450185761713,-3.96683112651379,-5.013450185761713,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.142408980383826,-4.046327207668397,-5.142408980383826,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.091629698214638,-4.00335053866088,-5.091629698214638,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.141415625149405,-4.020067233945417,-5.141415625149405,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.10388806195,-3.987711035083079,-5.10388806195,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.171085437853855,-4.017763001831204,-5.171085437853855,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.08687211739482,-3.949343008434225,-5.08687211739482,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.157284557661437,-3.981726736309601,-5.157284557661437,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.137761285808322,-3.9636487077487943,-5.137761285808322,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.17026873497977,-3.966493834008076,-5.17026873497977,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.11021567509454,-3.917447970857821,-5.11021567509454,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.270628242119281,-4.0178602057736486,-5.270628242119281,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.080048581748413,-3.869635904869112,-5.080048581748413,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.2765574689266925,-3.996844031851712,-5.2765574689266925,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.010421383595844,-4.089590652162096,-5.010421383595844,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.211499413063707,-3.9445592419422377,-5.211499413063707,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.274423075615171,-3.969820082032101,-5.274423075615171,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.042352849535711,-4.089942699506028,-5.042352849535711,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.215584825785601,-3.9225414851663225,-5.215584825785601,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.110794275496656,-3.840379778265111,-5.110794275496656,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.268971498988917,-3.9404528503004346,-5.268971498988917,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.053320301073374,-4.073198653344517,-5.053320301073374,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.197154642439123,-3.8837747141178776,-5.197154642439123,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.135364643168535,-3.834248100474991,-5.135364643168535,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.283442356833152,-3.92605771730128,-5.283442356833152,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.06423259027227,-4.056426398840833,-5.06423259027227,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.20503126014019,-3.864830916137916,-5.20503126014019,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.130249213319779,-3.805971042244016,-5.130249213319779,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.218285400843545,-3.8528472338834097,-5.218285400843545,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.089167378132612,-4.050831135291222,-5.089167378132612,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.216863903867839,-3.848844104945999,-5.216863903867839,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.192580198030784,-3.827570318121922,-5.192580198030784,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.292123321919461,-3.882334242981911,-5.292123321919461,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.110195584135753,-4.042020014243418,-5.110195584135753,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.245584389852427,-3.845236116083358,-5.245584389852427,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.210748611917478,-3.816345680033601,-5.210748611917478,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.27170740631501,-3.8425350300258976,-5.27170740631501,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.121000558992122,-4.025087796010049,-5.121000558992122,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.246040067286214,-3.8208827228986086,-5.246040067286214,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.226472942383244,-3.8032815236585495,-5.226472942383244,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.294802117482455,-3.834549549905048,-5.294802117482455,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.134900838054652,-4.010588321618151,-5.134900838054652,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.231813634346143,-3.7860099479815847,-5.231813634346143,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.241355844545625,-3.789571126586531,-5.241355844545625,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.31870859226566,-3.8270419760134313,-5.31870859226566,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.118751956798302,-3.972751868329389,-5.118751956798302,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.238532940731919,-3.76643851283766,-5.238532940731919,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.061278832150313,-3.926447399397883,-5.061278832150313,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.269190308423688,-3.7851338960025247,-5.269190308423688,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.318230762288039,-3.801989046062011,-5.318230762288039,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.11904266905733,-3.947871953159704,-5.11904266905733,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.247622324303958,-3.748605491113927,-5.247622324303958,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.023407772140696,-3.8724393515058897,-5.023407772140696,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.2954199319627575,-3.779400489745036,-5.2954199319627575,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-6.76836787109542,-4.815025148789973,-6.76836787109542,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.327425768006817,-3.783919024910019,-5.327425768006817,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.138271611452332,-3.9376208312203143,-5.138271611452332,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.26399082322876,-3.7359610385292616,-5.26399082322876,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.116235080938384,-3.919032884615344,-5.116235080938384,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.348565302243784,-3.792617409348933,-5.348565302243784,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-6.781485253632579,-4.7930903938031095,-6.781485253632579,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.347174803017989,-3.773318526944753,-5.347174803017989,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.147942042927317,-3.920021553190777,-5.147942042927317,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
-5.292590388412418,-3.7318952330962913,-5.292590388412418,1,0.5618904901739129,0.8900118113923152,0.2376685578364376
